smiles_a,smiles_e,smiles_p,yeild_classification,yield_regression,type
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccccc1Cl,Clc1ccccc1-c1cn(-c2ccc(Oc3ccccc3)cc2)nn1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccsc1,c1ccc(Oc2ccc(-n3cc(-c4ccsc4)nn3)cc2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc(Oc3ccccc3)cc2)nn1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)c1,0,0,N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,54.11898521,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(N)cc1,Nc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,51.95237642,Y
Brc1ccc2c(c1)OCO2,C#Cc1ccc(F)cc1,Fc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,0,0,N
Brc1ccc2c(c1)OCO2,C#Cc1ccccc1Cl,Clc1ccccc1-c1cn(-c2ccc3c(c2)OCO3)nn1,0,0,N
Brc1ccc2c(c1)OCO2,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,0,0,N
Brc1ccc2c(c1)OCO2,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,0,0,N
Brc1ccc2c(c1)OCO2,C#Cc1ccsc1,c1cc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cs1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccc(Cl)cc1,Clc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccc(F)cc1,Fc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccccc1Cl,Clc1ccccc1-c1cn(-c2nc3ccccc3s2)nn1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccncc1,c1ccc2sc(-n3cc(-c4ccncc4)nn3)nc2c1,0,0,N
Brc1nc2ccccc2s1,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(-c3nc4ccccc4s3)nn2)c1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccc(C#N)cc1,N#Cc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,0,0,N
Brc1nc2ccccc2s1,C#Cc1nccs1,c1ccc2sc(-n3cc(-c4nccs4)nn3)nc2c1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccsc1,c1ccc2sc(-n3cc(-c4ccsc4)nn3)nc2c1,0,0,N
Brc1nc2ccccc2s1,C#Cc1cccnc1,c1cncc(-c2cn(-c3nc4ccccc4s3)nn2)c1,0,0,N
Brc1nc2ccccc2s1,C#Cc1ccc(N)cc1,Nc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(Cl)cc1,Cc1ccnc(-n2cc(-c3ccc(Cl)cc3)nn2)c1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(F)cc1,Cc1ccnc(-n2cc(-c3ccc(F)cc3)nn2)c1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccccc1Cl,Cc1ccnc(-n2cc(-c3ccccc3Cl)nn2)c1,0,0,N
Cc1ccnc(Br)c1,C#Cc1cccc(N)c1,Cc1ccnc(-n2cc(-c3cccc(N)c3)nn2)c1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(C#N)cc1,Cc1ccnc(-n2cc(-c3ccc(C#N)cc3)nn2)c1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,0,0,N
Cc1ccnc(Br)c1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,0,0,N
Cc1ccnc(Br)c1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2cc(C)ccn2)nn1,0,0,N
Cc1ccnc(Br)c1,C#Cc1cccc([N+](=O)[O-])c1,Cc1ccnc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)c1,0,0,N
